Municipio,total_beneficiarios,monto_ejecutado_enbs_proyectos,proyectos_por_municipio
Achacachi,3434,7656876,29
Achocalla,1325,2848136,6
Aiquile,6776,5789815,144
Alalay,168,191988,5
Alcala,332,279336,14
Alto Beni,1398,5085916,21
Ancoraimes,4188,62956247,15
Antaquera,600,4629,2
Anzaldo,511,405497,18
Apolo,906,84676,3
Arani,17,684,1
Arbieto,85,61715189,3
Ascension de Guarayos,1094,4749821,5
Ayata,67,1226,1
Ayo Ayo,1054,966278,9
Azurduy,3857,24788453,79
Batallas,1338,3115373,8
Baures,60,566000,1
Belen de Andamarca,173,100560,3
Bella Flor,674,549596,14
Betanzos,6626,71188423,136
Bolivar,2319,4063023,18
Bolpebra,482,776824,17
Boyuibe,91,872552,3
Buena Vista,212,45776409,5
Cabezas,127,97994,4
Cairoma,610,1302693,9
Caiza D,1144,232243,3
Cajuata,19245,26989969,65
Calacoto,322,160084,5
Calamarca,1362,1835016,14
Callapa,2631,912103,19
Camargo,3589,6617499,26
Camiri,60,7276,2
Capinota,2651,16608908,33
Caquiaviri,3199,877237,11
Caracollo,7483,8005728,70
Caranavi,2425,64193319,16
Carangas,42,769,1
Caripuyo,12,18866,1
Carmen Rivero Torrez,666,80770,2
Chacarilla,2089,1240732,23
Challapata,5943,8169486,38
Chaqui,370,1908868,8
Charagua,454,1191506,6
Charazani,84,1537,1
Chayanta,2037,3232048,23
Chimore,24832,28938917,75
Choque Cota,118,101255,3
Chua Cocani,406,673077,1
Chulumani,37946,29598828,91
Chuma,1647,49117968,21
Chuquiuta,3666,12820,6
Ckochas,155,2401529,14
Cliza,951,22727012,5
Cobija,400,6411,2
Cocapata,1070,64945759,8
Colcapirhua,620,75192,2
Colcha K,674,3465429,13
Collana,194,156384,2
Colquechaca,353,587562,3
Colquencha,825,602460,5
Colquiri,1033,648225,30
Comanche,1434,1280344,9
Comarapa,4280,12723489,65
Combaya,262,1220931,3
Concepcion,2070,251044,2
Copacabana,50,915,1
Coripata,35176,28589701,104
Corocoro,4427,2785741,39
Coroico,42401,38386722,121
Corque,921,2761944,25
Cotagaita,6436,93919645,61
Cruz de Machacamarca,204,128214,6
Cuatro Cañadas,221,6605727,1
Cuchumuela,20,366,1
Cuevo,5176,1826368,7
Culpina,4024,71455795,36
Curahuara de Carangas,701,512416,13
El Alto,10,4986,1
El Choro,2788,1775068,34
El Puente,4591,14092870,23
El Torno,407,813933,5
El Trigal,87,1462287,2
El Villar,800,595957,18
Entre Rios,32064,46428116,79
Eucaliptus,1120,1013050,19
Fernandez Alonso,133,2635329,3
Filadelfia,1344,86497281,37
Guaqui,257,1275091,4
Guayaramerin,2834,55267584,47
Gutierrez,60,7276,2
Huacareta,188,2182166,13
Huacaya,292,2470822,8
Huanuni,84,1113372,4
Huari,783,388875,10
Huarina,651,833457,9
Huayllamarca,2005,1404315,32
Ichoca,893,895369,19
Icla,1143,737642,28
Incahuasi,1359,1907517,11
Independencia,1570,3004941,6
Ingavi,191,113696,6
Inquisivi,3768,123260674,45
Irupana,29897,24642763,106
Ixiamas,1160,12109,2
Jesus de Machaca,470,1043690,9
La Asunta,13333,15043026,49
La Guardia,24,439,1
La Paz,10000,1374011,1
Lagunillas,119,1015943,4
Laja,464,768896,5
Las Carreras,864,1604980,11
Llallagua,216,585055,1
Luribay,3452,141082644,50
Machacamarca,1177,1486187,13
Machareti,196,1859843,11
Mairana,2991,122069465,17
Malla,394,246279,10
Mecapaca,202,115046,5
Mineros,68,7598,3
Mizque,3536,59235244,60
Mojinete,24,314992,2
Mojocoya,1302,21687460,34
Monteagudo,946,9520546,39
Montero,3060,371108,2
Moro Moro,1193,912233,23
Morochata,7005,7125038,46
Muyupampa,474,7458745,25
Nueva Esperanza,120,17184,1
Ocuri,388,1856540,12
Omereque,1939,63559877,16
Oruro,138,1000032,4
Padcaya,3980,61389707,12
Padilla,1705,1345022,40
Pailon,3762,6835264,4
Palca,2583,50381694,22
Palos Blancos,8612,116694092,46
Pampa Aullagas,425,3316969,6
Pampa Grande,1246,42528918,8
Papel Pampa,3382,3638679,49
Pasorapa,4346,2151130,52
Patacamaya,5292,8896283,23
Pazña,9600,3454252,28
Pocoata,1540,3066958,9
Pocona,1238,26016936,29
Pojo,475,21470720,4
Poopo,1328,1130350,17
Poroma,519,713884,5
Porongo,732,14711054,1
Portachuelo,700,84894,2
Porvenir,1171,442868,15
Postrer Valle,107,255346,3
Potosi,16,293,1
Presto,2460,1643675,58
Pucara,129,1560837,3
Pucarani,527,2018021,10
Puerto Gonzalo Moreno,1144,21495007,21
Puerto Quijarro,330,40022,2
Puerto Rico,1250,20602128,14
Puerto Suarez,600,72766,2
Puerto Villarroel,33322,51444955,94
Puna,1107,3234147,25
Punata,999,5452643,12
Quiabaya,47,860,1
Quillacas,67,927425,1
Quillacollo,914,1900678,6
Quime,1450,209192,8
Quirusillas,308,1565634,4
Ravelo,411,2526476,14
Reyes,600,72766,2
Riberalta,3423,22243965,47
Robore,1110,130498,3
Sacaba,715,361314,3
Sacabamba,469,387220,14
Saipina,2473,7450226,16
Salinas de Garcia Mendoza,1365,4188118,7
Samaipata,2254,4702022,14
San Agustin,19,300702,1
San Benito,457,1337133,8
San Borja,640,77618,4
San Buenaventura,1522,53564180,7
San Carlos,780,92975,3
San Ignacio de Velasco,9578,1161592,2
San Javier,498,213922,4
San Joaquin,600,72766,2
San Jose de Chiquitos,1080,130980,2
San Juan de Yapacani,60,7276,2
San Julian,201,5242181,5
San Lorenzo,770,578484,23
San Lucas,5788,7943840,52
San Matias,470,57000,2
San Miguel de Velasco,474,57486,2
San Pablo de Lipez,244,300372,3
San Pedro,577,6861116,11
San Pedro de Buena Vista,583,1331568,7
San Pedro de Curahuara,2347,1421894,37
San Pedro de Quemes,89,763263,3
San Pedro de Totora,2227,1244011,34
San Rafael,970,117638,2
San Ramon,370,44872,2
Santa Ana de Yacuma,600,72766,2
Santa Rosa del Abuna,793,54819863,26
Santa Rosa del Sara,777,92481,3
Santiago de Andamarca,545,2429540,11
Santiago de Huata,482,799072,1
Santiago de Machaca,302,559097,6
Santos Mercado,221,318305,12
Sapahaqui,4550,121947909,15
Sena,1168,1862895,57
Shinahota,31766,29389560,64
Sica Sica,6254,5759625,53
Sicaya,17,311,1
Sipe Sipe,2705,33335687,9
Sopachuy,1243,730142,30
Soracachi,6403,71991119,40
Sorata,1575,22258511,19
Sucre,825,1383578,11
Tacacoma,26,21225,1
Tacopaya,1740,1904547,14
Tahua,252,564850,2
Tapacari,892,2372700,7
Tarabuco,5443,34441947,108
Tarata,124,20133292,3
Tarija,748,318564,4
Tarvita,1576,975355,39
Teoponte,700,13533,2
Tiahuanacu,416,46234,3
Tiquipaya,1235,968665,6
Tiraque,649,1078841,14
Toco,18,329,1
Tolata,215,22615913,2
Toledo,2935,3952067,53
Tomave,235,1223833,6
Tomina,2563,33253442,34
Toro Toro,1164,1293179,3
Totora,1291,5096299,9
Tupiza,2506,93788346,51
Turco,187,150840,4
Umala,2789,2528517,46
Uncia,2347,407520,12
Uriondo,1811,34118607,8
Urmiri,51,204267,2
Urubicha,60,7276,2
Uyuni,2398,5932503,29
Vacas,462,965460,18
Vallegrande,666,53825538,4
Viacha,930,1991911,10
Vila Vila,489,354816,10
Villa Abecia,2101,4434706,25
Villa Alcala,1116,31212786,6
Villa Charcas,1594,2434773,12
Villa de Sacaca,48,878,1
Villa Libertad Licoma,291,1559389,5
Villa Nueva,252,265487,11
Villa San Lorenzo,768,2597945,9
Villa Serrano,1890,24062753,54
Villa Tunari,50502,67751875,112
Villamontes,90,2349,2
Villazon,2531,48499476,48
Vinto,1162,128361,5
Vitichi,2825,67335473,22
Waldo Ballivian,209,147556,2
Warnes,780,94596,2
Yaco,1812,1831716,26
Yacuiba,177,2237700,3
Yamparaez,3379,67733726,40
Yanacachi,18690,13846768,70
Yapacani,3209,2424581,4
Yocalla,361,526222,12
Yotala,2784,22602481,50
Yunchara,3550,97960878,15
Zudañez,3251,101807092,43